2020-09-06 20:20:47,458 Results for XGB 78 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 41.06 | ExpVar: 0.22
2020-09-06 20:20:47,517 Results for XGB 79 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 42.26 | ExpVar: 0.05
2020-09-06 20:20:47,570 Results for XGB 80 [Target: reg:gamma, MaxDepth: 3, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 45.54 | ExpVar: -0.09
2020-09-06 20:20:47,582 Results for XGB 81 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0] -> MAE: 59.21 | ExpVar: -0.34
2020-09-06 20:20:47,590 Results for XGB 82 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0, Lambda: 0.1] -> MAE: 57.24 | ExpVar: -0.07
2020-09-06 20:20:47,603 Results for XGB 83 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0] -> MAE: 34.91 | ExpVar: 0.28
2020-09-06 20:20:47,615 Results for XGB 84 [Target: reg:gamma, MaxDepth: 6, NEstimators: 100, Alpha: 0.1, Lambda: 0.1] -> MAE: 40.11 | ExpVar: 0.18
2020-09-06 20:20:47,635 Results for XGB 85 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0] -> MAE: 60.86 | ExpVar: -0.37
2020-09-06 20:20:47,663 Results for XGB 86 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0, Lambda: 0.1] -> MAE: 59.19 | ExpVar: -0.09
2020-09-06 20:20:47,687 Results for XGB 87 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0] -> MAE: 37.88 | ExpVar: 0.23
2020-09-06 20:20:47,712 Results for XGB 88 [Target: reg:gamma, MaxDepth: 6, NEstimators: 250, Alpha: 0.1, Lambda: 0.1] -> MAE: 43.34 | ExpVar: 0.11
2020-09-06 20:20:47,751 Results for XGB 89 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0] -> MAE: 60.86 | ExpVar: -0.37
2020-09-06 20:20:47,777 Results for XGB 90 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0, Lambda: 0.1] -> MAE: 59.19 | ExpVar: -0.09
2020-09-06 20:20:47,809 Results for XGB 91 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0] -> MAE: 37.88 | ExpVar: 0.23
2020-09-06 20:20:47,836 Results for XGB 92 [Target: reg:gamma, MaxDepth: 6, NEstimators: 500, Alpha: 0.1, Lambda: 0.1] -> MAE: 43.34 | ExpVar: 0.11
2020-09-06 20:20:47,904 Results for XGB 93 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0] -> MAE: 60.86 | ExpVar: -0.37
2020-09-06 20:20:47,967 Results for XGB 94 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0, Lambda: 0.1] -> MAE: 59.19 | ExpVar: -0.09
2020-09-06 20:20:48,029 Results for XGB 95 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0] -> MAE: 37.88 | ExpVar: 0.23
2020-09-06 20:20:48,085 Results for XGB 96 [Target: reg:gamma, MaxDepth: 6, NEstimators: 1000, Alpha: 0.1, Lambda: 0.1] -> MAE: 43.34 | ExpVar: 0.11
2020-09-06 20:20:48,085 Best Model:
2020-09-06 20:20:48,085 Target:reg:gamma
2020-09-06 20:20:48,085 MaxDepth:6
2020-09-06 20:20:48,086 NEstimators:100
2020-09-06 20:20:48,086 Alpha:0.1
2020-09-06 20:20:48,086 Gamma:0
